,109,110,112,109,,,,,,,,,,,,,,,100000,100
Price,"""too cheap""","""cheap""","""expensive""","""too expensive""",,"""too cheap""
cumulative","""too cheap""
(%)","""cheap""
cumulative","""cheap""
(%)","""expensive""
cumulated","""expensive""
(%)","""too expensive""
cumulated","""too expensive""
(%)",,"""not cheap""
(%)","""not expensive""
(%)",,"""price ok""",Revenue,Margin
329,0,0,0,1,,2,0.01834862385321101,20,0.18181818181818182,46,0.4107142857142857,22,0.2018348623853211,,0.8181818181818181,0.5892857142857143,,0.7798165137614679,25655963.302752294,17857798.165137615
340,0,0,1,1,,2,0.01834862385321101,20,0.18181818181818182,47,0.41964285714285715,23,0.21100917431192662,,0.8181818181818181,0.5803571428571428,,0.7706422018348624,26201834.86238532,18495412.8440367
349,1,3,7,1,,2,0.01834862385321101,17,0.15454545454545454,54,0.48214285714285715,24,0.22018348623853212,,0.8454545454545455,0.5178571428571428,,0.7614678899082569,26575229.357798163,18960550.458715595
350,0,8,20,7,,1,0.009174311926605505,9,0.08181818181818182,74,0.6607142857142857,31,0.28440366972477066,,0.9181818181818182,0.3392857142857143,,0.7064220183486238,24724770.642201833,17660550.458715595
360,0,1,0,2,,1,0.009174311926605505,8,0.07272727272727272,74,0.6607142857142857,33,0.30275229357798167,,0.9272727272727272,0.3392857142857143,,0.6880733944954129,24770642.201834865,17889908.256880738
365,0,1,0,0,,1,0.009174311926605505,7,0.06363636363636363,74,0.6607142857142857,33,0.30275229357798167,,0.9363636363636364,0.3392857142857143,,0.6880733944954129,25114678.89908257,18233944.954128444
380,0,1,3,0,,1,0.009174311926605505,6,0.05454545454545454,77,0.6875,33,0.30275229357798167,,0.9454545454545454,0.3125,,0.6880733944954129,26146788.99082569,19266055.045871563
390,0,0,1,1,,1,0.009174311926605505,6,0.05454545454545454,78,0.6964285714285714,34,0.3119266055045872,,0.9454545454545454,0.3035714285714286,,0.6788990825688074,26477064.220183488,19688073.394495413
399,0,3,8,4,,1,0.009174311926605505,3,0.02727272727272727,86,0.7678571428571429,38,0.3486238532110092,,0.9727272727272728,0.2321428571428571,,0.6422018348623854,25623853.211009175,19201834.86238532
400,0,2,17,18,,1,0.009174311926605505,1,0.00909090909090909,103,0.9196428571428571,56,0.5137614678899083,,0.990909090909091,0.0803571428571429,,0.47706422018348627,19082568.807339452,14311926.605504587
